current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,APB,56120631,48439YCZ12,48691BCZ12,1523552253000
,,52495100,82077ZCV12,82643DCV12,1523554200000
,B3H,53790121,88656DCZ12,88725CCZ12,1523555958000
16490XCZ12,AQ6,52160346,16088ZCZ12,16602CCZ12,1523558155000
,AZP,53790121,88090ZCW12,88719CCW12,1523558398000
,B4C,59120034,82096Z1Z12,82726C1Z12,1523560861000
,B8B,52495100,86001ACY12,86729CCY12,1523562082000
,B6I,54761000,230L84C712,236L84C712,1523569560000
,BE3,95998090,42037AC313,42681EC313,1523570880000
,B51,56609010,74047AC912,74456YC912,1523573373000
,B85,54761000,460O35C113,466O35C113,1523573769000
,,56121720,52736CC413,52613FC413,1523592900000
,BGQ,51426930,15059AC113,15621FC113,1523576378000
,B7Y,59120020,82660FC013,82727CC013,1523577667000
15059AC113,BGQ,51426930,15621FC113,15621FC113,1523580931000
,B81,59120042,82604GC113,82728CC113,1523583943000
,BPB,52495100,88633GC413,88744CC413,1523587535000
,BC9,52495100,03456Z1513,03656E1513,1523589300000
,BC8,52495100,79457Z1413,79655E1413,1523589360000
,BM5,59120003,73752CC313,73601GC313,1523592941000
,,22974000,30541I2613,30540I2613,1523593620000
,BVF,52406842,07020B1A13,07607H1A13,1523596595000
,C2V,54606570,74052BCG13,74609ICG13,1523605121000
,C35,54606570,83616ICG13,83613ICG13,1523605620000
,C1X,59120042,74619ICD13,74770CCD13,1523606246000
,B4H,51425230,79065BCZ12,79669DCZ12,1523606338000
,BRR,56120620,62430ACD13,62661GCD13,1523606694000
,C1F,50520620,73467ACO13,73685HCO13,1523618168000
,C0S,59120003,88785CCK13,88677HCK13,1523618174000
,,54761000,230M73CH13,236M73CH13,1523616720000
,CBV,54606570,83630JCL13,83601JCL13,1523619480000
,CDV,51425330,15039CCM13,15622JCM13,1523622727000
,C5G,52160345,46480A1R13,46635I1R13,1523623045000
,CF9,56120620,62483A2O13,62641J2O13,1523624133000
,CI6,56609010,74048CCP13,74487ACP13,1523630520000
,CIS,95998090,42053CCY13,42672JCY13,1523626260000
,C12,59120020,73684JCL13,73763CCL13,1523628279000
,CK8,51426930,09065CCS13,09683JCS13,1523629413000
,C1J,59120020,73697JCP13,73768CCP13,1523629674000
